year,state,population,area,pop_per_area,latitude,longitude,latitude2,longitude2,p_rate,u_rate,lf,category,value
2019,Perlis,675.8,821,0.823142509,6.486839199,100.2577623,6.36839199,99.8577623,65.5,2.0,114.7,lf_employed,112.4
2019,Selangor,18617.8,8104,2.297359329,3.5083304,101.304146,3.5083304,100.304146,76.5,2.4,3648.3,lf_employed,3559.9
2019,Terengganu,3192.0,13035,0.244879171,4.8630743,102.9949297,4.5630743,104.2349297,61.3,3.3,495.0,lf_employed,478.7
2019,Sabah,11431.3,73631,0.155251185,5.425735899,114.5326392,4.125735899,115.726392,72.4,5.4,2114.1,lf_employed,1999.8
2019,Sarawak,7827.9,124450,0.06289996,2.5023855,110.9547283,2.2023855,112.9547283,68.1,3.6,1351.3,lf_employed,1303.1
2019,Kuala Lumpur,5182.7,243,21.32798354,3.1526589,101.7022205,3.0526589,100.5022205,68.1,2.5,834.1,lf_employed,813.6
2019,Labuan,272.7,91,2.996703297,5.316833599,112.448438,5.216833599,111.948438,59.4,4.2,41.1,lf_employed,39.4
2019,Putrajaya,259.1,49,5.287755102,2.9384381,101.69223,2.6384381,100.69223,72.1,0.4,37.2,lf_employed,37.0
2020,Johor,11222.8,19210,0.584216554,2.0229012,103.3147721,1.0229012,104.3147721,68.1,3.9,1824.4,lf_employed,1752.4
2020,Kedah,5696.3,9500,0.599610526,6.209826499,100.3715035,6.209826499,101.615035,62.1,4.0,956.9,lf_employed,918.7
2020,Kelantan,4565.3,15099,0.302357772,5.402130199,102.0635972,5.202130199,104.0635972,56.4,4.1,703.9,lf_employed,675.3
2020,Melaka,2805.4,1664,1.6859375,2.3293744,102.2880962,1.4293744,101.7880962,65.8,3.7,432.6,lf_employed,416.5
2020,Negeri Sembilan,3266.7,6686,0.488588095,2.731895,102.1925319,2.181895,101.0025319,63.1,4.2,491.2,lf_employed,470.4
2020,Pahang,4266.2,36137,0.118056286,3.6168822,102.5994547,3.2168822,104.0994547,63.2,3.3,718.6,lf_employed,694.9
2020,Pulau Pinang,5102.3,1048,4.86860687,5.406501299,100.2559077,5.206501299,99.5559077,71.1,3.7,915.4,lf_employed,881.9
2020,Perak,6776.5,21035,0.322153554,4.812181,100.9797908,4.512181,100.0797908,63.6,4.9,1088.8,lf_employed,1035.8
2020,Perlis,817.2,821,0.995371498,6.486839199,100.2577623,6.36839199,99.8577623,63.0,5.1,111.7,lf_employed,106.0
2020,Selangor,19848.6,8104,2.449234946,3.5083304,101.304146,3.5083304,100.304146,79.8,4.5,3881.9,lf_employed,3707.0
2020,Terengganu,3028.5,13035,0.232336018,4.8630743,102.9949297,4.5630743,104.2349297,59.0,4.0,485.4,lf_employed,466.2
2020,Sabah,9278.8,73631,0.126017574,5.425735899,114.5326392,4.125735899,115.726392,66.6,8.4,1984.6,lf_employed,1817.8
2020,Sarawak,6914.3,124450,0.055558859,2.5023855,110.9547283,2.2023855,112.9547283,67.1,4.5,1353.7,lf_employed,1293.4
2020,Kuala Lumpur,5823.3,243,23.96419753,3.1526589,101.7022205,3.0526589,100.5022205,73.4,4.9,892.0,lf_employed,848.7
2020,Labuan,260.5,91,2.862637363,5.316833599,112.448438,5.216833599,111.948438,65.9,8.2,47.0,lf_employed,43.2
2020,Putrajaya,263.3,49,5.373469388,2.9384381,101.69223,2.6384381,100.69223,67.9,2.1,34.3,lf_employed,33.6
2021,Johor,11249.2,19210,0.585590838,2.0229012,103.3147721,1.0229012,104.3147721,69.5,3.6,1839.5,lf_employed,1774.2
2021,Kedah,5743.7,9500,0.6046,6.209826499,100.3715035,6.209826499,101.615035,64.9,3.8,1014.2,lf_employed,975.3
2021,Kelantan,4614.8,15099,0.305636135,5.402130199,102.0635972,5.202130199,104.0635972,60.7,4.7,773.5,lf_employed,737.2
2021,Melaka,2821.4,1664,1.695552885,2.3293744,102.2880962,1.4293744,101.7880962,69.4,3.1,461.2,lf_employed,447.0
2021,Negeri Sembilan,3268.1,6686,0.488797487,2.731895,102.1925319,2.181895,101.0025319,65.0,3.1,509.8,lf_employed,494.0
2021,Pahang,4316.9,36137,0.11945928,3.6168822,102.5994547,3.2168822,104.0994547,64.1,3.3,735.8,lf_employed,711.6
2021,Pulau Pinang,5097.4,1048,4.863931298,5.406501299,100.2559077,5.206501299,99.5559077,72.1,3.2,937.9,lf_employed,908.1
2021,Perak,6830.5,21035,0.324720704,4.812181,100.9797908,4.512181,100.0797908,64.5,4.3,1110.7,lf_employed,1062.8
2021,Perlis,829.1,821,1.009866017,6.486839199,100.2577623,6.36839199,99.8577623,64.5,4.2,116.1,lf_employed,111.2
2021,Selangor,19915.3,8104,2.457465449,3.5083304,101.304146,3.5083304,100.304146,74.1,2.9,3658.6,lf_employed,3553.3
2021,Terengganu,3080.9,13035,0.236355965,4.8630743,102.9949297,4.5630743,104.2349297,57.5,4.1,484.6,lf_employed,464.7
2021,Sabah,9336.7,73631,0.126803928,5.425735899,114.5326392,4.125735899,115.726392,67.5,9.0,2045.9,lf_employed,1861.7
2021,Sarawak,6959.9,124450,0.055925271,2.5023855,110.9547283,2.2023855,112.9547283,70.5,4.0,1441.7,lf_employed,1384.1
2021,Kuala Lumpur,5799.0,243,23.86419753,3.1526589,101.7022205,3.0526589,100.5022205,74.7,5.0,918.2,lf_employed,872.6
2021,Labuan,261.3,91,2.871428571,5.316833599,112.448438,5.216833599,111.948438,68.1,7.6,51.1,lf_employed,47.2
2021,Putrajaya,280.4,49,5.72244898,2.9384381,101.69223,2.6384381,100.69223,70.9,1.6,36.2,lf_employed,35.6
