year,state,working_age_population,population,working_age_population_ratio,area,pop_per_area,latitude,longitude,latitude2,longitude2,p_rate,u_rate,lf,lf_employed,lf_unemployed,lf_outside,
2019,Negeri Sembilan,778.4,1126.2,69.1173859,6686,0.46573437,2.731895,102.1925319,2.181895,101.0025319,66.1,2.6,513.8,500.5,13.2,263.3,
2019,Pahang,1130.4,1671.4,67.63192533,36137,0.125134903,3.6168822,102.5994547,3.2168822,104.0994547,67.8,2.2,759.1,742.8,16.3,360.8,
2019,Perak,1712.6,2508.8,68.26371173,21035,0.325652484,4.812181,100.9797908,4.512181,100.0797908,65,4.6,1103.1,1052.1,51,595.2,
2019,Perlis,168.9,254,66.49606299,821,0.823142509,6.486839199,100.2577623,6.36839199,99.8577623,65.5,2,114.7,112.4,2.3,60.5,
2019,Pulau Pinang,1278.2,1768.8,72.26368159,1048,4.878530534,5.406501299,100.2559077,5.206501299,99.5559077,67.1,2.2,854,835,19,419.5,
2019,Putrajaya,65,103.7,62.68081003,49,5.287755102,2.9384381,101.69223,2.6384381,100.69223,72.1,0.4,37.2,37,0.2,14.4,
2019,Sabah,2858.1,3904.4,73.20202848,73631,0.155251185,5.425735899,114.5326392,4.125735899,115.726392,72.4,5.4,2114.1,1999.8,114.3,806.2,
2019,Sarawak,1957.2,2806,69.75053457,124450,0.06289996,2.5023855,110.9547283,2.2023855,112.9547283,68.1,3.6,1351.3,1303.1,48.3,632.5,
2019,Selangor,4654.3,6506.1,71.53748021,8104,2.297359329,3.5083304,101.304146,3.5083304,100.304146,76.5,2.4,3648.3,3559.9,88.3,1119.8,
2019,Terengganu,797.9,1244.5,64.11410205,13035,0.244879171,4.8630743,102.9949297,4.5630743,104.2349297,61.3,3.3,495,478.7,16.2,312.5,
2020,Johor,2805.7,4009.7,69.97281592,19210,0.584216554,2.0229012,103.3147721,1.0229012,104.3147721,68.1,3.9,1824.4,1752.4,72,854.1,
2020,Kedah,1424.1,2131.4,66.81523881,9500,0.599610526,6.209826499,100.3715035,6.209826499,101.615035,62.1,4,956.9,918.7,38.2,584.3,
2020,Kelantan,1141.3,1792.5,63.67085077,15099,0.302357772,5.402130199,102.0635972,5.202130199,104.0635972,56.4,4.1,703.9,675.3,28.6,544.8,
2020,Kuala Lumpur,1455.9,1982.1,73.45239897,243,23.96419753,3.1526589,101.7022205,3.0526589,100.5022205,73.4,4.9,892,848.7,43.3,323.3,
2020,Labuan,65,95.1,68.3491062,91,2.862637363,5.316833599,112.448438,5.216833599,111.948438,65.9,8.2,47,43.2,3.9,24.3,
2020,Melaka,701.2,998.4,70.23237179,1664,1.6859375,2.3293744,102.2880962,1.4293744,101.7880962,65.8,3.7,432.6,416.5,16.1,224.5,
2020,Negeri Sembilan,816.6,1200,68.05,6686,0.488588095,2.731895,102.1925319,2.181895,101.0025319,63.1,4.2,491.2,470.4,20.8,287.8,
2020,Pahang,1066.4,1591.3,67.01439075,36137,0.118056286,3.6168822,102.5994547,3.2168822,104.0994547,63.2,3.3,718.6,694.9,23.6,418,
2020,Perak,1694.2,2496,67.87660256,21035,0.322153554,4.812181,100.9797908,4.512181,100.0797908,63.6,4.9,1088.8,1035.8,52.9,623.9,
2020,Perlis,204.2,284.9,71.67427167,821,0.995371498,6.486839199,100.2577623,6.36839199,99.8577623,63,5.1,111.7,106,5.7,65.7,
2020,Pulau Pinang,1275.6,1740.4,73.29349575,1048,4.86860687,5.406501299,100.2559077,5.206501299,99.5559077,71.1,3.7,915.4,881.9,33.6,372.1,
2020,Putrajaya,66.1,109.2,60.53113553,49,5.373469388,2.9384381,101.69223,2.6384381,100.69223,67.9,2.1,34.3,33.6,0.7,16.3,
2020,Sabah,2319.7,3418.8,67.85129285,73631,0.126017574,5.425735899,114.5326392,4.125735899,115.726392,66.6,8.4,1984.6,1817.8,166.7,995.2,
2020,Sarawak,1728.6,2453.7,70.44871011,124450,0.055558859,2.5023855,110.9547283,2.2023855,112.9547283,67.1,4.5,1353.7,1293.4,60.3,662.5,
2020,Selangor,4962.2,6994.4,70.94532769,8104,2.449234946,3.5083304,101.304146,3.5083304,100.304146,79.8,4.5,3881.9,3707,174.9,984.4,
2020,Terengganu,757.1,1149.4,65.86914912,13035,0.232336018,4.8630743,102.9949297,4.5630743,104.2349297,59,4,485.4,466.2,19.2,337.3,
2021,Johor,2812.3,4020,69.95771144,19210,0.585590838,2.0229012,103.3147721,1.0229012,104.3147721,69.5,3.6,1839.5,1774.2,65.3,807.6,
2021,Kedah,1436,2151.7,66.73792815,9500,0.6046,6.209826499,100.3715035,6.209826499,101.615035,64.9,3.8,1014.2,975.3,38.9,548.5,
2021,Kelantan,1153.6,1812.3,63.65392043,15099,0.305636135,5.402130199,102.0635972,5.202130199,104.0635972,60.7,4.7,773.5,737.2,36.2,500.8,
2021,Kuala Lumpur,1449.7,1964,73.81364562,243,23.86419753,3.1526589,101.7022205,3.0526589,100.5022205,74.7,5,918.2,872.6,45.6,311,
2021,Labuan,65.6,96,68.33333333,91,2.871428571,5.316833599,112.448438,5.216833599,111.948438,68.1,7.6,51.1,47.2,3.9,24,
2021,Melaka,705.4,1004.5,70.22399204,1664,1.695552885,2.3293744,102.2880962,1.4293744,101.7880962,69.4,3.1,461.2,447,14.2,203.5,
2021,Negeri Sembilan,817.2,1204.2,67.86248132,6686,0.488797487,2.731895,102.1925319,2.181895,101.0025319,65,3.1,509.8,494,15.7,274.8,
