Country Name,country,Continent,Country Code,"Labor force, total [SL.TLF.TOTL.IN]",labour_force,"Population ages 15-64, total [SP.POP.1564.TO]"
United Kingdom,United Kingdom,Europe,GBR,35275169,81.49949151,43282686
United States,United States of America,North America,USA,170548899,78.66113747,216814687
Uruguay,Uruguay,South America,URY,1775121,79.20831885,2241079
Uzbekistan,Uzbekistan,Asia,UZB,14269864,60.77672544,23479159
Vanuatu,Vanuatu,Oceania,VUT,141633,74.071188,191212
"Venezuela, RB",Venezuela,South America,VEN,11548202,62.1345068,18585811
Viet Nam,Vietnam,Asia,VNM,56149382,83.21172087,67477732
Virgin Islands (U.S.),United States Virgin Islands,North America,VIR,46435,73.73912215,62972
"Yemen, Rep.",Yemen,Asia,YEM,6882832,34.28165626,20077303
Zambia,Zambia,Africa,ZMB,7051257,61.45255258,11474311
Zimbabwe,Zimbabwe,Africa,ZWE,6560725,69.76813061,9403613
